subject_id,subject_type_id,subject_name,credits,havePrerequisite,prerequisite_id
GR172,1,ภาษาเยอรมัน 2,3,1,GR171
IP100,2,ความรู้เบื้องต้นทางปรัชญา,3,0,None
IP101,2,ความรู้เบื้องต้นทางการเมือง,3,0,None
IP102,2,เศรษฐศาสตร์จุลภาคพื้นฐาน,3,0,None
IP103,2,เศรษฐศาสตร์มหภาคพื้นฐาน,3,0,None
IP200,2,ความรู้เบื้องต้นทางกฎหมายและกฎหมายมหาชน,3,0,None
IP201,2,ปรัชญาสังคมและการเมือง,3,0,None
IP202,2,การเมืองและการปกครองของประเทศไทยสมัยใหม่,3,0,None
IP203,2,รัฐธรรมนูญและสถาบันการเมืองในสังคมสมัยใหม่,3,0,None
IP204,2,ระเบียบวิธีวิจัยสำหรับปรัชญา การเมือง และเศรษฐศาสตร์,3,0,None
IP220,2,จริยศาสตร์เบื้องต้น,3,0,None
IP221,2,ตรรกศาสตร์และการใช้เหตุผล,3,0,None
IP222,2,ความรู้เบื้องต้นเกี่ยวกับกฎหมายปกครอง,3,0,None
IP223,2,ระบบกฎหมายและระบบยุติธรรมของไทย,3,0,None
IP224,2,เศรษฐศาสตร์จุลภาคขั้นกลาง,3,1,IP102
IP225,2,เศรษฐศาสตร์มหภาคขั้นกลาง,3,1,IP103
IP230,2,การอ่านและเขียนภาษาอังกฤษทางวิชาการ 1,3,1,"EL172,TU105"
IP231,2,การอ่านและเขียนภาษาอังกฤษทางวิชาการ 2,3,1,"IP205,IP230"
IP232,2,การฟังและการพูดภาษาอังกฤษทางวิชาการ,3,1,"EL172,TU105"
IP320,2,ประวัติปรัชญาตะวันตก,3,0,None
IP321,2,ประวัติปรัชญาตะวันออก,3,0,None
IP322,2,อภิปรัชญาและญาณวิทยาเบื้องต้น,3,0,None
IP323,2,กรอบการศึกษาการเมืองเปรียบเทียบ,3,0,None
IP324,2,การเมืองโลก,3,0,None
IP325,2,สิทธิมนุษยชน,3,0,None
IP330,2,เทคนิคทางคณิตศาสตร์และสถิติในเศรษฐศาสตร์,3,1,TU151
IP331,2,เศรษฐมิติพื้นฐาน,3,1,IP330
IP332,2,เศรษฐกิจไทยร่วมสมัย,3,0,None
IP346,2,สุนทรียศาสตร์และปรัชญาศิลปะ,3,0,None
IP347,2,รากฐานทางปรัชญาของความเป็นสมัยใหม่,3,0,None
IP348,2,ปรัชญากฎหมาย,3,0,None
IP349,2,ความเคลื่อนไหวทางสังคมและการเมืองในระบบประชาธิปไตย,3,0,None
IP356,2,การเมืองกับศาสนา,3,0,None
IP357,2,ความคิดทางการเมือง จากเพลโตถึงยุคปัจจุบัน,3,0,None
IP358,2,ระบอบประชาธิปไตยเปรียบเทียบ,3,0,None
IP359,2,เศรษฐศาสตร์นโยบายสาธารณะ,3,0,None
IP366,2,การบริหารรัฐกิจและการศึกษาองค์การ,3,0,None
IP367,2,หลักทั่วไปของกฎหมายแพ่งและพาณิชย์,3,0,None
IP368,2,ประวัติศาสตร์ธุรกิจไทยสมัยใหม่,3,0,None
IP369,2,เศรษฐกิจการเมืองระหว่างประเทศ,3,0,None
IP376,2,เศรษฐศาสตร์ทรัพยากรธรรมชาติและสิ่งแวดล้อม,3,0,None
IP377,2,เศรษฐศาสตร์สถาบันพื้นฐาน,3,0,None
IP378,2,การพัฒนาระหว่างประเทศเบื้องต้น,3,0,None
IP379,2,จริยธรรมทางธุรกิจและความรับผิดชอบของธุรกิจต่อสังคม,3,0,None
IP386,2,ศิลปะกับสังคม,3,0,None
IP387,2,จีนร่วมสมัย,3,0,None
IP388,2,ญี่ปุ่นร่วมสมัย,3,0,None
IP389,2,อินเดียร่วมสมัย,3,0,None
IP396,2,อาเซียนศึกษา,3,0,None
IP397,2,บูรณาการยุโรป,3,0,None
IP398,2,เศรษฐกิจการเมืองของกลุ่มประเทศรัฐสวัสดิการ,3,0,None
IP399,2,ความยุติธรรมระดับโลก,3,0,None
IP446,2,สัมมนาประเด็นทางปรัชญา,3,0,None
IP447,2,กฎหมายกับความสัมพันธ์ระหว่างประเทศ,3,0,None
IP448,2,กฎหมายกับการปกครองท้องถิ่น,3,0,None
IP449,2,กฎหมายไทยในแง่มุมทางสังคม การเมือง และเศรษฐกิจ,3,0,None
IP456,2,สัมมนาประเด็นทางกฎหมายและการเมือง,3,0,None
IP457,2,เศรษฐศาสตร์เมือง,3,0,None
IP458,2,การพัฒนาเศรษฐกิจของประเทศในเอเชียตะวันออก,3,0,None
IP459,2,สัมมนาประเด็นทางเศรษฐศาสตร์และการพัฒนา,3,0,None
IP466,2,สัมมนาประเด็นร่วมสมัยด้านสิทธิมนุษยชน,3,0,None
IP467,2,ประวัติศาสตร์โลกว่าด้วยเพศสภาพและเพศวิถี,3,0,None
IP468,2,สัมมนาประเด็นสำคัญระดับโลก,3,0,None
IP469,2,ปรัชญาสตรี,3,0,None
IP476,2,สัมมนาหัวข้อเฉพาะทางสังคมศาสตร์และมนุษยศาสตร์,3,0,None
IP477,2,ปรัชญาสังคมศาสตร์,3,0,None
